"","album_uri","album_name","album_img","album_release_date","album_release_year","base_album_name","base_album","num_albums","num_base_albums","album_rank"
"169","1nbPXw9LtPtbMYjkmA2j1Y","Supreme Clientele","https://i.scdn.co/image/44c976cfcd1b801c13c3fee19b242de55b3c7800","2000-02-08",2000-02-08,"supreme clientele",TRUE,1,1,2
"170","0BfdrpcjD2oTtmlYRaGDZt","bulletproof wallets featuring raekwon","https://i.scdn.co/image/f52fd4837416d3fe80d50bb02ceb6dd31ff41a5d","2001-10-16",2001-10-16,"bulletproof wallets featuring raekwon",TRUE,1,1,3
"171","0nUqHFJeVqfFWoV4mpegRW","Ghostface Killah...Shaolins Finest","https://i.scdn.co/image/d7e7d50b10215ff025cc094d9dd8be549c0b5379","2002-04-22",2002-04-22,"ghostface killah...shaolins finest",TRUE,1,1,4
"172","2WmOmegAoaqoplknJiILVU","Milk Em","https://i.scdn.co/image/8f5fd7d58b8508bbee5b3f347eba2cb6d92b1a55","2005-05-03",2005-05-03,"milk em",TRUE,1,1,5
"173","0gaLZATMEssSErDzywUqxD","Fishscale (Bonus Track)","https://i.scdn.co/image/fda20d417d64a5fcdb5b81f0a82d62d060e6e961","2006-01-01",2006-01-01,"fishscale (bonus track)",TRUE,1,1,6
"174","7KG4KPy9S7JfbLaXZlTQRG","Fishscale","https://i.scdn.co/image/f9780dae9d7d0e125c1c6b67b8067d5ab1314483","2006-01-01",2006-01-01,"fishscale",TRUE,1,1,7
"175","47NRe9ML5KLtsC9kEys3rl","More Fish","https://i.scdn.co/image/8f98fd5040ac4523eb61fbe6f746d01689f345af","2006-01-01",2006-01-01,"more fish",TRUE,1,1,8
"176","4FuA2vFO9OdPrlo3CuFbFy","The Big Doe Rehab","https://i.scdn.co/image/f112002a16481d7b89f88269467c8837cdbc45ed","2007-01-01",2007-01-01,"the big doe rehab",TRUE,1,1,9
"177","0L1Qq8en6hODRCgaAfTBAq","GhostDeini The Great (Bonus Tracks)","https://i.scdn.co/image/d0c7e8d5b1254ac4123c9b70be229d4d09ea6078","2008-01-01",2008-01-01,"ghostdeini the great (bonus tracks)",TRUE,1,1,10
"178","4r9ZAw8LePiCYMfn2M7dgE","Wallabee Champ","https://i.scdn.co/image/eaa5777203c38a4f244f589d0a84156d116dbe0c","2008",2008-01-01,"wallabee champ",TRUE,1,1,11
"179","4imA6mzSbTkAm0GoHh6zRF","Ghostdini Wizard Of Poetry In Emerald City","https://i.scdn.co/image/24dff0366371dd59cdd32cb76ee9e6f3cff319e2","2009-01-01",2009-01-01,"ghostdini wizard of poetry in emerald city",TRUE,1,1,12
"180","3hPl7uRfNdRvoRW0kUzkVk","Apollo Kids","https://i.scdn.co/image/764a26abca874993aaa3a7f6074284a73b869eb7","2010-01-01",2010-01-01,"apollo kids",TRUE,1,1,13
"181","2o8bBwp8CMxyeCg4P6KF7A","Hidden Darts Special Edition","https://i.scdn.co/image/805e335969d196ec75c475afb2c9958737e9858b","2010-09-22",2010-09-22,"hidden darts special edition",TRUE,1,1,14
"182","2NMvDr7uCQmEEbwuifDxUn","Adrian Younge Presents: 12 Reasons to Die I","https://i.scdn.co/image/bcd63943fbc341e1de937f36485ccdd9dd088234","2013",2013-01-01,"adrian younge presents: 12 reasons to die i",TRUE,1,1,15
"183","2I1PykvbFiOv9FW3VTg2sx","Twelve Reasons To Die","https://i.scdn.co/image/5798f34b4b2da5c95c6ba481e8890a9b705ac5b2","2013-09-02",2013-09-02,"twelve reasons to die",TRUE,1,1,16
"184","2MNtOTfhYOxIw5xWEQHUvZ","36 Seasons","https://i.scdn.co/image/cda3d16d51163547910c55cc9c395464afd292d6","2014-12-09",2014-12-09,"36 seasons",TRUE,1,1,17
"185","3FBy2w3p9C7elcKiVmFLh0","Adrian Younge Presents: 12 Reasons To Die II","https://i.scdn.co/image/e1fe335b243e3c356fa2fe8cf9602ed603278e61","2015",2015-01-01,"adrian younge presents: 12 reasons to die ii",TRUE,1,1,18
"186","6qNz7HctTGiEBlLAsAYAZm","Twelve Reasons to Die II","https://i.scdn.co/image/a5910386459da72d1dba0777199ba51ead378ecb","2015-07-10",2015-07-10,"twelve reasons to die ii",TRUE,1,1,19
"187","4iCcWBjN1tNtZb3wTcWxQr","Adrian Younge Presents: Twelve Reasons to Die II","https://i.scdn.co/image/2ee62132882258e73be2d459f4a9ad219de98dca","2015-07-10",2015-07-10,"adrian younge presents: twelve reasons to die ii",TRUE,1,1,20
"188","7yXfSAtdHFZ1pYSubEio6a","The Brown Tape","https://i.scdn.co/image/95b15abcdcba63abe8e9e7f4782919f7c6193c02","2018-01-26",2018-01-26,"the brown tape",TRUE,1,1,21
"189","6WkwHbcr6RAIqa72NsDFea","The Lost Tapes","https://i.scdn.co/image/27cffd0018b08580ec0ce12b6ccd66a531f726f5","2018-10-05",2018-10-05,"the lost tapes",TRUE,1,1,22
"190","40c7E8VG9R8U0NKft7J7Yk","Ghost Files - Bronze Tape","https://i.scdn.co/image/77eb7c17cafe5503d8b31e4c29e23f27820cc10c","2018-11-30",2018-11-30,"ghost files - bronze tape",TRUE,1,1,23
"191","4t1y7sVACbddwczEcQs5HI","Ghost Files - Propane Tape","https://i.scdn.co/image/77eb7c17cafe55034be019dedcfc86ff1d657d89","2018-11-30",2018-11-30,"ghost files - propane tape",TRUE,1,1,24
"192","3k8xoyOXkGgZxUKgpmxz4P","Liquid Swords","https://i.scdn.co/image/54eba36fcbfda321ed4b929159626afec76b8d5c","1995-01-01",1995-01-01,"liquid swords",TRUE,1,1,1
"193","4QMKELvG0VNODbiFigj4K9","Beneath The Surface","https://i.scdn.co/image/bc7cecb262168eed02b526e05d8be13b3400e613","1999-01-01",1999-01-01,"beneath the surface",TRUE,1,1,2
"194","5uxYLiUKqQNoiD5rIVHnkm","Legend Of The Liquid Sword","https://i.scdn.co/image/3df8066f0a9b54b0aa0ccfb574ce2c01e3b25421","2002-01-01",2002-01-01,"legend of the liquid sword",TRUE,1,1,3
"195","5nmN1wW90fbqNbz7ltY7rg","Pro Tools","https://i.scdn.co/image/fbac763525df848933f3eeccfe1e170172179a2e","2008-08-19",2008-08-19,"pro tools",TRUE,1,1,4
"196","0ic6rMSwqDasuXSA7zJ1pw","The Pro Tools Instrumentals","https://i.scdn.co/image/04e88414d97d233f3c54e35f5f5adc1bf0a27ece","2008-08-19",2008-08-19,"the pro tools instrumentals",TRUE,1,1,5
"197","6JF49ixyHmOgS0Rsda2k42","Cilvia Demo","https://i.scdn.co/image/bd22abae4e4c0c91ccbae48dcf19cdfba800d8c3","2014-01-28",2014-01-28,"cilvia demo",TRUE,1,1,1
"198","6jjX8mGrsWtrpYpFhGMrg1","The Suns Tirade","https://i.scdn.co/image/309080d78dbe9c0bc2a39d090e1e7d6195a1a577","2016-09-02",2016-09-02,"the suns tirade",TRUE,1,1,2
"199","2KvJwjA8SxHUn1JPG09W4g","Welcome 2 Detroit","https://i.scdn.co/image/0e3e59a57206d4e5e9d72bbfc4fe8d139b791103","2001",2001-01-01,"welcome 2 detroit",TRUE,1,1,1
"200","1Bvq4XLWstUiiCA5dGURtf","The Beat Generation 10th Anniversary Presents: Jay Dee - Pause","https://i.scdn.co/image/36e8a1a8120fd23cb7721b0f87536b42fc0765a0","2001",2001-01-01,"the beat generation 10th anniversary presents: jay dee - pause",TRUE,1,1,2
