album_uri,album_name,artist,release_date,album_type,remove,notes
1anke1zBsWVM2QEEjJLYEn,On the Outside Looking In,8Ball & MJG,3/3/15,album,,
52cldud3qNYJLGSc8U6x90,Ridin' High,8Ball & MJG,2007,album,,
2dnFVKB8vidmUmSWZZ7DCh,Ridin' High (U.S. Amended Version),8Ball & MJG,2007,album,1,duplicate
3oKDttML8cs38J8bB7u9GL,Comin' Out Hard (Smoked & Chopped),"8Ball & MJG, 8Ball, MJG",3/17/15,album,1,duplicate
38tSxbJgFfV68aOzRGW1X6,Doin It Big & Pimp Tight (Deluxe Edition),"8Ball & MJG, 8Ball, MJG",5/19/15,album,,
6tjKLQEMkhV5oZb46hvhgm,On The Outside Looking In (Smoked & Chopped),"8Ball & MJG, 8Ball, MJG",3/17/15,album,1,duplicate
7ajO1HYJGC6YaBLaiPewet,Light Up The Bomb,"8Ball, 8 Ways Entertainment",10/31/06,album,,
6NQFyRgu9MfTCI1W3SCTNc,Light Up The Bomb Chopped & Screwed,"8Ball, 8 Ways Entertainment",11/21/06,album,1,duplicate
0bfX7K4io8frLngP7GfGS0,The Vet And The Rookie,"8Ball, Devius",10/9/07,album,,
3x1CYAp5i9IS0H9oRI3WRT,Bring It Back (feat. T.I.) (remix),"8Ball, MJG",6/7/10,album,,
5a2g5yaOJKkXfcNN7Dk711,Look At Me Now,"8Ball, MJG",1/24/18,album,,
1mmxvAJVY3UeldNaLXs07W,Space Age 4 Eva,"8Ball, MJG",8/23/05,album,,
23pvVM6sKuaewVfyuleYhU,Space Age 4 Eva - Chopped & Screwed,"8Ball, MJG",8/23/05,album,1,duplicate
7wmREJdO1YnCuhYxNuJe1p,Ten Toes Down,"8Ball, MJG",5/4/10,album,,
5uI9oVc4JZ5vyqpfjWlkFP,We Are The South (Greatest Hits),"8Ball, MJG",5/13/08,album,1,compilation
13VX4SeBbXuZEihnA91GSo,93PUNX,"93PUNX, Vic Mensa",8/23/19,album,,
3ZHUs1y4aOXHdX2DFBRnez,The Final Adventure,"9th Wonder, Murs",11/13/12,album,,
0z0rbyEtYkisRJBja0FmRk,The Final Adventure (Instrumentals),"9th Wonder, Murs",3/5/13,album,1,duplicate
2OQEAqShAl6SodrGhmYZ4Z,Artist,A Boogie Wit da Hoodie,9/16/16,album,,
3r5hf3Cj3EMh1C2saQ8jyt,Hoodie SZN,A Boogie Wit da Hoodie,12/21/18,album,,
6opJjTuHd4tQ1h2qrus7jH,International Artist,A Boogie Wit da Hoodie,6/20/18,album,,
7b6MXjzjNLobZJuGGbqyg2,King Of My City,A Boogie Wit da Hoodie,1/31/20,album,,
0ewO3paYhoJwMGX1Yjyebw,Mood Swings,A Boogie Wit da Hoodie,9/13/19,album,,
4PRKR5s0uRpu1KfyJCdVHk,Reply (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,11/15/19,album,,
3HHp5I6Q6SEyU5bkvoCtnV,The Bigger Artist,A Boogie Wit da Hoodie,9/29/17,album,,
2osVvQ5BdONgWS9C7BHrsj,Bag On Me,"A Boogie Wit da Hoodie, Don Q",12/30/16,album,,
