album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
5zOiqCC0L9rNOi7KROBqQy,Clockin' Lotsa Dollarz,"GLC, Bun B, Sir Mix-A-Lot",1/1/10,album,0,NA,2222,4
6kohAuwW7UPm6BmGVXspwj,Sankofa with Kwesi (feat. Kwesi Ronald Harris),"GLC, RichGains",7/6/17,album,0,NA,2223,4
1DsXnQMKBYsc3EU1x64gJW,The Light (feat. Manfred Mann; Myxer Exclusive),"GLC, Sir Mix-A-Lot, Bun B",1/1/10,album,0,NA,2224,4
0xRPRKuz0locCf3ObS7WKI,Body (feat. Saweetie),"Glowie, Saweetie",11/23/18,album,0,NA,2225,4
3tlDQco8P9HFoR5CRC1BCj,"And After That, We Didn't Talk",GoldLink,11/6/15,album,0,NA,2226,4
18JrBX1QkpnUSJF3oxX6RX,At What Cost,GoldLink,3/24/17,album,0,NA,2227,4
790qROmQ1y4aPEYLcSkScH,Diaspora,GoldLink,6/12/19,album,0,NA,2228,4
2STQBFjZMi8in9qFJyjOzt,Got Muscle (feat. Peewee Longway & WaveIQ),GoldLink,1/25/19,album,0,NA,2229,4
5BVRgMtjVkUcy0rznmuC2Q,Joke Ting (feat. Ari PenSmith),GoldLink,5/31/19,album,0,NA,2230,4
4yVCW2ysRZYyYxXvzisMx3,Justine's Interlude - A COLORS SHOW,GoldLink,1/10/19,album,0,NA,2231,4
312nhg8yOA9JbFKi0cNNky,The God Complex,GoldLink,4/1/14,album,0,NA,2232,4
5g0xMnMMjem2z6vr3ZXzES,"U Say (feat. Tyler, The Creator & Jay Prince)",GoldLink,6/6/19,album,0,NA,2233,4
0AZaV4LPEKjXUDYmNsB1zK,Zulu Screams (feat. Maleek Berry & Bibi Bourelly),GoldLink,5/13/19,album,0,NA,2234,4
6bORev5aRxM5DzaQDUXWG7,Got Friends,"GoldLink, Miguel",6/13/18,album,0,NA,2235,4
0dFSEV6LINTq0nvHnmEeSs,Where Was You At,"Good Gas, FKi 1st, Matt Ox",5/17/19,album,0,NA,2236,4
2kz7a9d9J4ZOU1syE0eaJS,Age Against The Machine,Goodie Mob,8/27/13,album,0,NA,2237,4
4Axfi5WdzBr76JllAASdxG,Fight To Win (feat. CeeLo Green),Goodie Mob,4/23/12,album,0,NA,2238,4
3OlVQh2vT0iW68LKsSWt6r,One Monkey Don't Stop No Show,Goodie Mob,6/29/04,album,0,NA,2239,4
6cKgDS8oVcCNw9EjQf66er,Soul Food,Goodie Mob,11/7/95,album,0,NA,2240,4
1CEdzMKobQ63HnCFc4VbwJ,Special Education (feat. Janelle Monae),Goodie Mob,6/18/13,album,0,NA,2241,4
5DH3m48q5nJ9QMK7nvx1PK,World Party,Goodie Mob,11/30/99,album,0,NA,2242,4
7rH5aPfFALaXUfLbBOD3G8,No Rain No Rainbow,"Goodie Mob, Organized Noize",4/19/19,album,0,NA,2243,4
2w4tLG1JH25BysuILfkI0x,D-Sides [Special Edition],Gorillaz,11/19/07,album,0,NA,2244,4
0bUTHlWbkSQysoM3VsWldT,Demon Days,Gorillaz,5/23/05,album,0,NA,2245,4
5psQDCgtFeD7dYQfp7iDAT,Fire Flies,Gorillaz,6/14/18,album,0,NA,2246,4
0YvYmLBFFwYxgI4U9KKgUm,Gorillaz,Gorillaz,2001,album,0,NA,2247,4
6BjHI9viwfuY6xWZAcP5l7,Hollywood (feat. Snoop Dogg & Jamie Principle),Gorillaz,6/21/18,album,0,NA,2248,4
0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),Gorillaz,4/28/17,album,0,NA,2249,4
1n21RxlTNW3J2dHYy8RJPX,Humility (feat. George Benson) [Remixes],Gorillaz,7/12/18,album,0,NA,2250,4
2dIGnmEIy1WZIcZCFSj6i8,Plastic Beach,Gorillaz,3/3/10,album,0,NA,2251,4
4ylpUUmMEz2FRtsWzuIbrS,Song Machine Episode 1,Gorillaz,1/30/20,album,0,NA,2252,4
5BgM99uyOY2nlSUAIS0uwT,Song Machine Theme Tune,Gorillaz,1/28/20,album,0,NA,2253,4
5jJGGsAztgUEXUHHZ2zrah,The Fall,Gorillaz,2010,album,0,NA,2254,4
1amYhlukNF8WdaQC3gKkgL,The Now Now,Gorillaz,6/29/18,album,0,NA,2255,4
2j5V8YaXQcY4ZzyG4tOQOC,Tranz,Gorillaz,9/14/18,album,0,NA,2256,4
1QwJwcvJ9wiYfGxwk6YZOy,Momentary Bliss (feat. slowthai and Slaves),"Gorillaz, slowthai, Slaves",1/30/20,album,0,NA,2257,4
46bHbUtpBk7lNUil14ykvu,Laika Come Home,"Gorillaz, Space Monkeyz",7/1/02,album,0,NA,2258,4
58U03BYpx4UeJiBDmSiqG6,Blow,"Grafh, Benny The Butcher",1/15/19,album,0,NA,2259,4
3VA5POAcYM4LiQX3UtRMq9,Working Baby,"Gramzunkut, Fred the Godson",8/30/19,album,0,NA,2260,4
