artist_name,album_name,track_uri,track_name,feature,track_popularity,album_uri,artist,release_date,artist_uri
21 Savage,Issa Album,0mhsw7HRwRwF79ES5ucP9Y,Thug Life,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,6g0TAJ1grweRwBMLQyiZFb,Famous,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,74BIr8H03lr5L6LZ1friIa,Dead People,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,5aZrmUOr1kL5U6cg0WZNyw,7 Min Freestyle,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,54i1CQFlT3LeGdIVctDQp1,Money Convo,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,1szcZMcUlPjCItP4xNIU3E,Nothin New,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Savage Mode,2kE82JhBcoS7mimFO1SqqX,No Advance,Metro Boomin,16,4I3EcXD4e3KcEoDJfFEZ5b,21 Savage,2016-07-15,1URnnhqYAYcrqrcwql10ft
21 Savage,Savage Mode,4gmmRb6bZJffOOiww1JGTO,No Heart,Metro Boomin,16,4I3EcXD4e3KcEoDJfFEZ5b,21 Savage,2016-07-15,1URnnhqYAYcrqrcwql10ft
21 Savage,Savage Mode,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),"Metro Boomin, Future",16,4I3EcXD4e3KcEoDJfFEZ5b,21 Savage,2016-07-15,1URnnhqYAYcrqrcwql10ft
21 Savage,Savage Mode,52hRcWmjRNFuVJv3Qi7EeF,Savage Mode,Metro Boomin,16,4I3EcXD4e3KcEoDJfFEZ5b,21 Savage,2016-07-15,1URnnhqYAYcrqrcwql10ft
21 Savage,Savage Mode,5TvdhNXoHbeGeWtjCYhFuy,Bad Guy,Metro Boomin,16,4I3EcXD4e3KcEoDJfFEZ5b,21 Savage,2016-07-15,1URnnhqYAYcrqrcwql10ft
21 Savage,Savage Mode,5V57eUQoTrMCZqonhzi8B9,Real Nigga,Metro Boomin,16,4I3EcXD4e3KcEoDJfFEZ5b,21 Savage,2016-07-15,1URnnhqYAYcrqrcwql10ft
21 Savage,Savage Mode,6hEHxpZpvZwt1v4NoGwjKr,Mad High,Metro Boomin,16,4I3EcXD4e3KcEoDJfFEZ5b,21 Savage,2016-07-15,1URnnhqYAYcrqrcwql10ft
21 Savage,Savage Mode,4ujX9kC3UUp26MG0tPhUCz,Feel It,Metro Boomin,16,4I3EcXD4e3KcEoDJfFEZ5b,21 Savage,2016-07-15,1URnnhqYAYcrqrcwql10ft
21 Savage,Savage Mode,1UyLFPOIG7E1OfamPQLOfD,Ocean Drive,Metro Boomin,16,4I3EcXD4e3KcEoDJfFEZ5b,21 Savage,2016-07-15,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,2DtqYVY9L3m7yvUvra7Ge6,Lord Forgive Me,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,5jzICnPx3GiVD2FzvUhP1T,Dirty K,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,3QfT6j50zHZLPrl5skf9mX,Front Door,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,4C61YwZyiVfzrh8walv04F,Wow,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,00WFoR7tPga5Wj92MSR3eD,Slime,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,4tUHRIoPI8YiOsNOUrTomJ,Mind Yo Business,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,3ZFYvE2CoxAKCs5O5DFkXA,No Peace,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,3xAXYCtd98G5G0SSJAHtqd,Dip Dip,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,0xwn1hcwKZEQTaRTLP0PFc,Motorcycle,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,0H117ffxP9pOWGffiGCY3L,Deserve,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,2eq9aw5ZZIuRswW9fy5PKE,Partments,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,0CAugnKxS7xneO9ShRRxuY,Vette,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
