"","album_uri","album_name","album_img","album_release_date","album_release_year","base_album_name","base_album","num_albums","num_base_albums","album_rank","artist"
"119","0P4u1ZRM6CXePgpeF8ShmN","The Hybrid - Deluxe Edition","https://i.scdn.co/image/ab67616d0000b2735cd1fbaf0a8d8a8124cf6ee5","2010",2010-01-01,"the hybrid",FALSE,1,0,2,"Danny Brown"
"120","1QESrfmlfAl19Gr8mXcysi","XXX (Deluxe Edition)","https://i.scdn.co/image/88831b44e5315242100fa1b7902b62807421b164","2012-03-13",2012-03-13,"xxx",FALSE,1,0,3,"Danny Brown"
"121","5SC0415RIGVX9ZfL0tfbAl","Old","https://i.scdn.co/image/ab67616d0000b27368b3cdb0e859e5c1af35ddbd","2013-10-08",2013-10-08,"old",TRUE,1,1,4,"Danny Brown"
"122","2L32VPdX8NcICxVf6AhDqD","Hot Soup - Instrumentals","https://i.scdn.co/image/ab67616d0000b273227118db46b8dd3d123e2cf2","2014-04-05",2014-04-05,"hot soup - instrumentals",TRUE,1,1,5,"Danny Brown"
"123","5pjvBM0oPH7RNcgPKxIJmR","Atrocity Exhibition","https://i.scdn.co/image/ab67616d0000b273db0b5f2d653611e8ca1b1a0e","2016-09-30",2016-09-30,"atrocity exhibition",TRUE,1,1,6,"Danny Brown"
"124","2ccA8iEqnatp6vGojHNsr5","uknowhatimsayin¿","https://i.scdn.co/image/b599559652de556a039fe4dc528ae36f3d82e67c","2019-11-22",2019-11-22,"uknowhatimsayin¿",TRUE,1,1,7,"Danny Brown"
"125","08aqY8lv4zx4uaqBUpMD8a","No Love Deep Web","https://i.scdn.co/image/52ebef149030ae8c30fdb8562e75a945a4fd12f8","2012",2012-01-01,"no love deep web",TRUE,1,1,1,"Death Grips"
"126","1PQDjdBpHPikAodJqjzm6a","The Money Store","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","2012-04-20",2012-04-20,"the money store",TRUE,1,1,2,"Death Grips"
"127","3T01oOjbrox1jz0pR112oV","Government Plates","https://i.scdn.co/image/ab67616d0000b27398e118bde42a69a0bdb4ea2f","2014-01-14",2014-01-14,"government plates",TRUE,1,1,3,"Death Grips"
"128","5Y04ylQjDWsawOUJXzY4YO","The Powers That B","https://i.scdn.co/image/72f3a048ae801e1323e1e1ae5ea31679b5125505","2015-02-10",2015-02-10,"the powers that b",TRUE,1,1,4,"Death Grips"
"129","4dIPUQHheyH9e6ioplvNT2","Bottomless Pit","https://i.scdn.co/image/3de29cee5a755b33c10a5045a4b31c2729a1f06e","2016-05-06",2016-05-06,"bottomless pit",TRUE,1,1,5,"Death Grips"
"130","0T0hdMTypoYTFhgk4ugXkN","Fashion Week","https://i.scdn.co/image/ab67616d0000b273a0b84af18db0d9a764704538","2016-05-06",2016-05-06,"fashion week",TRUE,1,1,6,"Death Grips"
"131","46eayJPxf1cBWWUqNa2MJJ","Year Of The Snitch","https://i.scdn.co/image/ab67616d0000b2738b0fd435be942b69343759e9","2018-06-22",2018-06-22,"year of the snitch",TRUE,1,1,7,"Death Grips"
"132","1t05YAzxjK1HqLD2KcBjx5","32 Zel","https://i.scdn.co/image/04cb5e3dd76d5350e0d7b55bf86b08c563b0466d","2015-06-09",2015-06-09,"32 zel",TRUE,1,1,1,"Denzel Curry"
"133","42fyKPanos0Q3woi848ktg","Imperial","https://i.scdn.co/image/13ef6193895d687908bd40b4ef498ebbc19148e9","2016-10-14",2016-10-14,"imperial",TRUE,1,1,2,"Denzel Curry"
"134","6idVoBWP2mt1qoMtASm3gc","TA13OO","https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294","2018-07-27",2018-07-27,"ta13oo",TRUE,1,1,3,"Denzel Curry"
"135","6PkSBdx19zarn4ae1D08gA","ZUU","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","2019-05-31",2019-05-31,"zuu",TRUE,1,1,4,"Denzel Curry"
"136","7q2B4M5EiBkqrlsNW8lB7N","2001","https://i.scdn.co/image/5e1b25c45e9ea76e987c16bfad41bf1c9f4f146c","1999-11-16",1999-11-16,"2001",TRUE,1,1,1,"Dr. Dre"
"137","3t3Ar2cJUVLY6yTRmrezI8","2001 Instrumental","https://i.scdn.co/image/c9fb1f8baf5c86ab8187df36f4ec01f18e4a6e26","1999-11-16",1999-11-16,"2001 instrumental",TRUE,1,1,2,"Dr. Dre"
"138","6ZnMFVV5HDv2xmHG7bn7et","Compton","https://i.scdn.co/image/6f13ddefdbf63beb0138b5f5bc70d80607a4420e","2015-08-21",2015-08-21,"compton",TRUE,1,1,3,"Dr. Dre"
"139","6jlrjFR9mJV3jd1IPSplXU","Thank Me Later","https://i.scdn.co/image/bc0e02901f78db9bfeec5d38409eb4ed599651fe","2010-01-01",2010-01-01,"thank me later",TRUE,2,1,1,"Drake"
"140","0NGwRz0semIXUCSxR0uffa","Take Care","https://i.scdn.co/image/4cae9019efd7a9eaf2eb2d6eaf461614b92c12e8","2011-11-15",2011-11-15,"take care",TRUE,3,1,2,"Drake"
"141","1XslIirSxfAhhxRdn4Li9t","Nothing Was The Same","https://i.scdn.co/image/62e7fd03880d562d515091cb2d67b7cfdda9bbe0","2013-01-01",2013-01-01,"nothing was the same",TRUE,2,1,3,"Drake"
"142","0ptlfJfwGTy0Yvrk14JK1I","If Youre Reading This Its Too Late","https://i.scdn.co/image/4ea99332bacfbe0eccc465480568352048fd8d50","2015-02-12",2015-02-12,"if youre reading this its too late",TRUE,1,1,4,"Drake"
"143","15QCBYjP6HwHvsff100UBx","What A Time To Be Alive","https://i.scdn.co/image/78dd1f63046b03cb8ac0e474af000358274a3e82","2015-09-25",2015-09-25,"what a time to be alive",TRUE,1,1,5,"Drake"
"144","0G1ffjfFuTUTVjDrVdLimH","Views","https://i.scdn.co/image/ca02625b4130d1ed5b7eaff215ab54c42db0c14a","2016-05-13",2016-05-13,"views",TRUE,1,1,6,"Drake"
"145","1lXY618HWkwYKJWBRYR4MK","More Life","https://i.scdn.co/image/0023d6ddf942b9ceac54c66cb4b34af3d7fdd42e","2017-03-18",2017-03-18,"more life",TRUE,1,1,7,"Drake"
"146","1ATL5GLyefJaxhQzSPVrLX","Scorpion","https://i.scdn.co/image/e6d17a95cac4810507dfb0a8242e4463d4c32a30","2018-06-29",2018-06-29,"scorpion",TRUE,1,1,8,"Drake"
"147","1LShhEEKRT5MNPcO7jtYHh","So Far Gone","https://i.scdn.co/image/da7218c25677d2edaf10ad7857dfe4eb6948a0ff","2019-02-15",2019-02-15,"so far gone",TRUE,1,1,9,"Drake"
"148","7dqpveMVcWgbzqYrOdkFTD","Care Package","https://i.scdn.co/image/f424b711dc3843845db9703c65649701264db126","2019-08-02",2019-08-02,"care package",TRUE,1,1,10,"Drake"
"149","5vRfIDOPJHy3W2wHWbzLlE","Doris","https://i.scdn.co/image/ab67616d0000b27346f9bf1154c7205b0e8b1667","2013-08-16",2013-08-16,"doris",TRUE,1,1,1,"Earl Sweatshirt"
"150","3wUv2IjD5hPrqlPakpczQa","I Dont Like Shit, I Dont Go Outside: An Album by Earl Sweatshirt","https://i.scdn.co/image/ab67616d0000b27316ac34a19212811cf922ab71","2015-03-23",2015-03-23,"i dont like shit, i dont go outside: an album by earl sweatshirt",TRUE,1,1,2,"Earl Sweatshirt"
"151","66at85wgO2pu5CccvqUF6i","Some Rap Songs","https://i.scdn.co/image/ab67616d0000b2732b688ab63b1a5f281cfdf451","2018-11-30",2018-11-30,"some rap songs",TRUE,1,1,3,"Earl Sweatshirt"
"152","0N0EFoE8csbKxl5lxT1ylm","FEET OF CLAY","https://i.scdn.co/image/60184885ae95875244346cbcf7cb4e5173718923","2019-11-01",2019-11-01,"feet of clay",TRUE,1,1,4,"Earl Sweatshirt"
"153","0vE6mttRTBXRe9rKghyr1l","The Slim Shady LP","https://i.scdn.co/image/559b453d9530bf44cd94ba4691733ebc439122f3","1999-02-23",1999-02-23,"the slim shady lp",TRUE,2,1,1,"Eminem"
"154","5H0rjI1TW8F2tORPYMJXHJ","The Marshall Mathers LP","https://i.scdn.co/image/c17fe032b01973ee979744877464cfb3ce656afd","2001-08-20",2001-08-20,"the marshall mathers lp",TRUE,1,1,2,"Eminem"
"155","2cWBwpqMsDJC1ZUwz813lo","The Eminem Show","https://i.scdn.co/image/d5b9c8bf0a66b86e60a52dab0fb480d04e108be1","2002-05-26",2002-05-26,"the eminem show",TRUE,2,1,3,"Eminem"
"156","7tsXPtLqhab1zWeubbf6JH","Encore","https://i.scdn.co/image/ab04655ad7bf7a8cdef959a141f60acad9153196","2004-11-12",2004-11-12,"encore",TRUE,2,1,4,"Eminem"
"157","03lYYd9IOnxoacrLOvoPJa","Eminem Presents The Re-Up","https://i.scdn.co/image/41b9a01e90ffd2d0bd123105ba98e67cfa45c51f","2006-01-01",2006-01-01,"eminem presents the re-up",TRUE,1,1,5,"Eminem"
"158","7MZzYkbHL9Tk3O6WeD4Z0Z","Relapse: Refill","https://i.scdn.co/image/cdd0ceac966212c516e313fad97f3de7acaeb76c","2009-05-15",2009-05-15,"relapse: refill",TRUE,1,1,6,"Eminem"
"159","6tgULf2EfJoT8n1StuPQJt","Relapse","https://i.scdn.co/image/c909f96b4c1e08df37b465ccd6ad492b6531aad7","2009-05-15",2009-05-15,"relapse",TRUE,3,1,7,"Eminem"
"160","47BiFcV59TQi2s9SkBo2pb","Recovery","https://i.scdn.co/image/65fef75a3eeaf35d94f1d9e7553222c8d0194cb3","2010-06-18",2010-06-18,"recovery",TRUE,2,1,8,"Eminem"
"161","3vOgbDjgsZBAPwV2M3bNOj","The Marshall Mathers LP2","https://i.scdn.co/image/7ac7a40e166d0cedfca4d9ead085604fb1c76ffc","2013-11-05",2013-11-05,"the marshall mathers lp2",TRUE,2,1,9,"Eminem"
"162","0U6ldwLBEMkwgfQRY4V6D2","Revival","https://i.scdn.co/image/9e7a10081fe409efdfad954d94f6ef2c10b4dee0","2017-12-15",2017-12-15,"revival",TRUE,1,1,10,"Eminem"
"163","3HNnxK7NgLXbDoxRZxNWiR","Kamikaze","https://i.scdn.co/image/1f920bcfbf6707bc36b4df0b0d8d27acdf369991","2018-08-31",2018-08-31,"kamikaze",TRUE,1,1,11,"Eminem"
"164","392p3shh2jkxUxY2VHvlH8","channel ORANGE","https://i.scdn.co/image/274280f8c875eadbd0c08bf6bf48bf41803c055e","2012-01-01",2012-01-01,"channel orange",TRUE,2,1,1,"Frank Ocean"
"165","3mH6qwIy9crq0I9YQbOuDf","Blonde","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","2016-08-20",2016-08-20,"blonde",TRUE,1,1,2,"Frank Ocean"
"166","4zv8fBnpl74bnzlYYi5Yih","Midwestgangstaboxframecadillacmuzik","https://i.scdn.co/image/ab67616d0000b2737416494434cd8871d2ab09d4","2009-01-01",2009-01-01,"midwestgangstaboxframecadillacmuzik",TRUE,1,1,1,"Freddie Gibbs"
"167","1c5SNuDvXXiD9g0IKBUh28","The Miseducation of Freddie Gibbs","https://i.scdn.co/image/ab67616d0000b273cc6c270c9de65d133b61e986","2009",2009-01-01,"the miseducation of freddie gibbs",TRUE,1,1,2,"Freddie Gibbs"
"168","0zrSpGKGnSbKoeIavHiy6I","Str8 Killa","https://i.scdn.co/image/ab67616d0000b2732bb2603b0df8ad3d04bcaa54","2010-08-03",2010-08-03,"str8 killa",TRUE,1,1,3,"Freddie Gibbs"
"169","15k8vlPxxEjhpHAxuwSBUh","Baby Face Killa","https://i.scdn.co/image/ab67616d0000b273bcba105507b46893bde36f22","2012-09-25",2012-09-25,"baby face killa",TRUE,1,1,4,"Freddie Gibbs"
"170","6r4A1kEu3HAGMpEYBqocVl","Lord Giveth, Lord Taketh Away","https://i.scdn.co/image/ab67616d0000b273e224aee5b4fdfff13d5b2724","2012-10-02",2012-10-02,"lord giveth, lord taketh away",TRUE,1,1,5,"Freddie Gibbs"
"171","6z2F5JAAILOH3nyvNcECy8","Cold Day In Hell","https://i.scdn.co/image/ab67616d0000b27362972fcd776e2018b372c4cf","2012-12-11",2012-12-11,"cold day in hell",TRUE,1,1,6,"Freddie Gibbs"
"172","2CKPvOCCB1aCh5ZHoXm5vT","ESGN - Evil Seeds Grow Naturally","https://i.scdn.co/image/50a9588ddae393e7c801b47b189a06598ca68ab1","2013-06-19",2013-06-19,"esgn - evil seeds grow naturally",TRUE,1,1,7,"Freddie Gibbs"
"173","43uErencdmuTRFZPG3zXL1","Piñata","https://i.scdn.co/image/ab67616d0000b273d844f6b7311a69b9a08e7a0f","2014-03-18",2014-03-18,"piñata",TRUE,1,1,8,"Freddie Gibbs"
"174","7nfBj1HTi3LHg5lJt1LbE4","The Tonite Show with Freddie Gibbs & The Worlds Freshest","https://i.scdn.co/image/3aa299d2deba2854b9e007795d766d65e44be328","2014-05-13",2014-05-13,"the tonite show with freddie gibbs & the worlds freshest",TRUE,1,1,9,"Freddie Gibbs"
"175","3MmQYoMTS3hGiBLKDuId4b","Piñata (Alex Goose Remix)","https://i.scdn.co/image/ab67616d0000b273b5a25146fd9b336d69f59f03","2015-11-13",2015-11-13,"piñata (alex goose remix)",TRUE,1,1,10,"Freddie Gibbs"
"176","5AW4FwzZSKW1se5qWQCrR1","Piñata (Alex Goose Instrumental Remix)","https://i.scdn.co/image/ab67616d0000b273e84448eccc5ad1d56c91d5f4","2015-11-13",2015-11-13,"piñata (alex goose instrumental remix)",TRUE,1,1,11,"Freddie Gibbs"
"177","41zRghNRGMG6l8dYtRp3iI","Shadow of a Doubt","https://i.scdn.co/image/ab67616d0000b27320f5448cf75f418b92591262","2015-11-20",2015-11-20,"shadow of a doubt",TRUE,1,1,12,"Freddie Gibbs"
"178","2LCCg172ZNVAA9aFH2EPst","You Only Live 2wice","https://i.scdn.co/image/ab67616d0000b27394cc1551a6591030d1e96479","2017-03-31",2017-03-31,"you only live 2wice",TRUE,1,1,13,"Freddie Gibbs"
"179","6JaEv20qGvSgIHQbxwtjUu","Freddie","https://i.scdn.co/image/ab67616d0000b273fa55faa1d9c494e37317734c","2018-06-22",2018-06-22,"freddie",TRUE,1,1,14,"Freddie Gibbs"
"180","31KbO7WnDp2AjPdmRTJzdf","Bandana","https://i.scdn.co/image/ab67616d0000b2733bf3b1061f9f703b0f6bf532","2019-06-28",2019-06-28,"bandana",TRUE,1,1,15,"Freddie Gibbs"
"181","56P7aZkTGJGsYGe0DH7mqA","Astronaut Status","https://i.scdn.co/image/ab67616d0000b2732b3b386a936b458495300451","2012-01-17",2012-01-17,"astronaut status",TRUE,1,1,1,"Future"
"182","6vmsGTuTYTo5GDHkosmq2E","Pluto","https://i.scdn.co/image/ab67616d0000b273e4102e0e769a58abb9666dd5","2012-04-17",2012-04-17,"pluto",TRUE,1,1,2,"Future"
"183","1MJ0UQh7nta4JGuFYW4gCg","Pluto 3D","https://i.scdn.co/image/ab67616d0000b273350a058cc9f52e641c1ef9cf","2012-11-27",2012-11-27,"pluto 3d",TRUE,1,1,3,"Future"
"184","76T6VyS7a1I1EwnjUujaA9","First Class Flights","https://i.scdn.co/image/ab67616d0000b2735a7fcef280cc836d4ea5e675","2013-03-04",2013-03-04,"first class flights",TRUE,1,1,4,"Future"
"185","4anheXx4ephOE9hk1P1eCS","Notice Me","https://i.scdn.co/image/ab67616d0000b273474db4509dfce7f7d001a5bf","2013-05-30",2013-05-30,"notice me",TRUE,1,1,5,"Future"
"186","5rbqupVSYwvEmXBUnFtUf7","Honest","https://i.scdn.co/image/ab67616d0000b273b226ab81b0934f43465ff5f0","2014-04-22",2014-04-22,"honest",TRUE,1,1,6,"Future"
"187","5seA8nhyE1OZW5TOORKJAY","Hell and Angels","https://i.scdn.co/image/ab67616d0000b273acb94a0ba88873701e2f0243","2014-10-04",2014-10-04,"hell and angels",TRUE,1,1,7,"Future"
"188","6LkUDxtz8cJG3n0RbZNkDh","Beast Mode (Instrumentals)","https://i.scdn.co/image/ab67616d0000b273017447e1b9022b379f128a3b","2015-01-25",2015-01-25,"beast mode (instrumentals)",TRUE,1,1,8,"Future"
"189","3dP0TFEEzTXJQKtrpsKFUj","DS2 - Track by Track Commentary","https://i.scdn.co/image/ab67616d0000b273aaa74e657d014790495e3e0f","2015-07-15",2015-07-15,"ds2 - track by track commentary",TRUE,1,1,9,"Future"
"190","0fUy6IdLHDpGNwavIlhEsl","DS2 (Deluxe)","https://i.scdn.co/image/ab67616d0000b273b2592bea12d840fd096ef965","2015-07-17",2015-07-17,"ds2",FALSE,1,0,10,"Future"
"191","3jJKDKdlwRS584zUlHV2Ly","EVOL","https://i.scdn.co/image/ab67616d0000b273626745b3aa04899001a924ad","2016-04-13",2016-04-13,"evol",TRUE,1,1,11,"Future"
"192","1GvR0Bjqbq1ejwjzLjrOcG","Beast Mode","https://i.scdn.co/image/ab67616d0000b2734db29e1b8885d7bbc493f12b","2016-11-29",2016-11-29,"beast mode",TRUE,1,1,12,"Future"
"193","2nB4hPkIT80DFtf7lHyviw","Zone","https://i.scdn.co/image/ab67616d0000b27324edfdccd3e08c25d21c8452","2017-02-10",2017-02-10,"zone",TRUE,1,1,13,"Future"
"194","1P8NvRvykmDrKyfglMerMv","HNDRXX","https://i.scdn.co/image/ab67616d0000b273968822b495da180d0792a437","2017-08-04",2017-08-04,"hndrxx",TRUE,1,1,14,"Future"
"195","4YtTX4GPvBvewbJvBfXCS2","FUTURE","https://i.scdn.co/image/ab67616d0000b273356884f85665ebdd79223fdf","2017-08-04",2017-08-04,"future",TRUE,1,1,15,"Future"
"196","0US0Bhn0oOLwVqXVnz0HDb","SUPER SLIMEY","https://i.scdn.co/image/ab67616d0000b2731bfeb9d8a84bcd75650b767b","2017-10-22",2017-10-22,"super slimey",TRUE,1,1,16,"Future"
"197","0C0Vs4XobImmqpr6kIasde","SUPERFLY (Original Motion Picture Soundtrack)","https://i.scdn.co/image/ab67616d0000b273553162a7641ebb0aac36a90a","2018-06-15",2018-06-15,"superfly (original motion picture soundtrack)",TRUE,1,1,17,"Future"
"198","6Ew52HWkgfbth9ihRAq2Xd","BEASTMODE 2","https://i.scdn.co/image/ab67616d0000b273c64062196630be5cee367ee8","2018-07-06",2018-07-06,"beastmode 2",TRUE,1,1,18,"Future"
"199","6P9PZjWXoCRF5b66BafPKY","Future & Juice WRLD Present... WRLD ON DRUGS","https://i.scdn.co/image/ab67616d0000b273644c510e8d4c02ae69028297","2018-10-19",2018-10-19,"future & juice wrld present... wrld on drugs",TRUE,1,1,19,"Future"
"200","3LpIwZdzFwc10psLingT8x","Future Hndrxx Presents: The WIZRD","https://i.scdn.co/image/ab67616d0000b273e111437ad4fd3f50c8461ec5","2019-01-18",2019-01-18,"future hndrxx presents: the wizrd",TRUE,1,1,20,"Future"
"201","65hRa80KDworqyE8242rLN","SAVE ME","https://i.scdn.co/image/ab67616d0000b2735cd6070603a9f2e5dcb01d0c","2019-06-07",2019-06-07,"save me",TRUE,1,1,21,"Future"
"202","6Q3VZtyPCZFMO4cPF4828q","Monster","https://i.scdn.co/image/bef87c8d7ab7c0beb9adbac6bc200a70c60c42ea","2019-10-28",2019-10-28,"monster",TRUE,1,1,22,"Future"
"203","2mbukOnfZW3KtoelIWEC4x","Ironman","https://i.scdn.co/image/ab67616d0000b273b08f55c6afd940a2a9ef384a","1996-08-19",1996-08-19,"ironman",TRUE,1,1,1,"Ghostface Killah"
"204","1nbPXw9LtPtbMYjkmA2j1Y","Supreme Clientele","https://i.scdn.co/image/ab67616d0000b2732cb4716c9251db074a8f9939","2000-02-08",2000-02-08,"supreme clientele",TRUE,1,1,2,"Ghostface Killah"
"205","0BfdrpcjD2oTtmlYRaGDZt","bulletproof wallets featuring raekwon","https://i.scdn.co/image/ab67616d0000b2730d56602251f931e8fc4df5b8","2001-10-16",2001-10-16,"bulletproof wallets featuring raekwon",TRUE,1,1,3,"Ghostface Killah"
"206","0nUqHFJeVqfFWoV4mpegRW","Ghostface Killah...Shaolins Finest","https://i.scdn.co/image/ab67616d0000b27397a7f65ac0f12096904218a4","2002-04-22",2002-04-22,"ghostface killah...shaolins finest",TRUE,1,1,4,"Ghostface Killah"
"207","2WmOmegAoaqoplknJiILVU","Milk Em","https://i.scdn.co/image/ab67616d0000b273453530d19c3f36f945d66c3a","2005-05-03",2005-05-03,"milk em",TRUE,1,1,5,"Ghostface Killah"
"208","0gaLZATMEssSErDzywUqxD","Fishscale (Bonus Track)","https://i.scdn.co/image/d996e9a61028e5fa2dcfbb7d1c096fd32846844e","2006-01-01",2006-01-01,"fishscale (bonus track)",TRUE,1,1,6,"Ghostface Killah"
"209","7KG4KPy9S7JfbLaXZlTQRG","Fishscale","https://i.scdn.co/image/542a2493f3a2988f1fd0cf1197b2e0cc02ab2fce","2006-01-01",2006-01-01,"fishscale",TRUE,1,1,7,"Ghostface Killah"
"210","47NRe9ML5KLtsC9kEys3rl","More Fish","https://i.scdn.co/image/7ab1632893b7411cce221dfd8cb4b667026bc546","2006-01-01",2006-01-01,"more fish",TRUE,1,1,8,"Ghostface Killah"
"211","4FuA2vFO9OdPrlo3CuFbFy","The Big Doe Rehab","https://i.scdn.co/image/8f739430e248f523f112bf81d92791caa255ba20","2007-01-01",2007-01-01,"the big doe rehab",TRUE,1,1,9,"Ghostface Killah"
"212","0L1Qq8en6hODRCgaAfTBAq","GhostDeini The Great (Bonus Tracks)","https://i.scdn.co/image/92d69fac487a07f6cb9d73ecd5b42bf0f9510730","2008-01-01",2008-01-01,"ghostdeini the great (bonus tracks)",TRUE,1,1,10,"Ghostface Killah"
"213","4r9ZAw8LePiCYMfn2M7dgE","Wallabee Champ","https://i.scdn.co/image/ab67616d0000b2738691d8e25a00b8c465968a51","2008",2008-01-01,"wallabee champ",TRUE,1,1,11,"Ghostface Killah"
"214","4imA6mzSbTkAm0GoHh6zRF","Ghostdini Wizard Of Poetry In Emerald City","https://i.scdn.co/image/90e5d90bf265d45e51592c145144994c102bd59b","2009-01-01",2009-01-01,"ghostdini wizard of poetry in emerald city",TRUE,1,1,12,"Ghostface Killah"
"215","0Qansm2OqCBtfFjSwagZNg","The Wizar Is Coming","https://i.scdn.co/image/90404bdc34ca378752d823b1d01575558cf18c00","2009-11-17",2009-11-17,"the wizar is coming",TRUE,1,1,13,"Ghostface Killah"
"216","3hPl7uRfNdRvoRW0kUzkVk","Apollo Kids","https://i.scdn.co/image/45b12098ff36330a213b4bc9a661b34bfb7d4f08","2010-01-01",2010-01-01,"apollo kids",TRUE,1,1,14,"Ghostface Killah"
"217","2o8bBwp8CMxyeCg4P6KF7A","Hidden Darts Special Edition","https://i.scdn.co/image/ab67616d0000b27328f20a708057a21d6dbaa130","2010-09-22",2010-09-22,"hidden darts special edition",TRUE,1,1,15,"Ghostface Killah"
"218","2I1PykvbFiOv9FW3VTg2sx","Twelve Reasons To Die","https://i.scdn.co/image/ab67616d0000b27368d090dcd7b12bda5ef0d09c","2013-09-02",2013-09-02,"twelve reasons to die",TRUE,1,1,16,"Ghostface Killah"
"219","2MNtOTfhYOxIw5xWEQHUvZ","36 Seasons","https://i.scdn.co/image/ab67616d0000b273563ac45a3b9429d078967e81","2014-12-09",2014-12-09,"36 seasons",TRUE,1,1,17,"Ghostface Killah"
"220","3G7WHOu9IDqO4UKyw2IfUr","Adrian Younge Presents: 12 Reasons To Die II","https://i.scdn.co/image/0b018016fdff9da9c188ba32fc9fcd27eb4a2a48","2015-06-26",2015-06-26,"adrian younge presents: 12 reasons to die ii",TRUE,1,1,18,"Ghostface Killah"
"221","6qNz7HctTGiEBlLAsAYAZm","Twelve Reasons to Die II","https://i.scdn.co/image/ab67616d0000b2737a863b0ad8d41b757db1c1a0","2015-07-10",2015-07-10,"twelve reasons to die ii",TRUE,1,1,19,"Ghostface Killah"
"222","4iCcWBjN1tNtZb3wTcWxQr","Adrian Younge Presents: Twelve Reasons to Die II","https://i.scdn.co/image/ab67616d0000b2733db28465dae8f1d3b1d1bf0e","2015-07-10",2015-07-10,"adrian younge presents: twelve reasons to die ii",TRUE,1,1,20,"Ghostface Killah"
"223","7yXfSAtdHFZ1pYSubEio6a","The Brown Tape","https://i.scdn.co/image/ab67616d0000b273b850621fe14c0283b4f0b8ed","2018-01-26",2018-01-26,"the brown tape",TRUE,1,1,21,"Ghostface Killah"
"224","2fPz4Kn1vZTFZVbP0ia8Vq","Adrian Younge Presents: 12 Reasons to Die I","https://i.scdn.co/image/1895a7c83fe1ddba1f15d80b0cfc67f06855da4e","2018-03-30",2018-03-30,"adrian younge presents: 12 reasons to die i",TRUE,1,1,22,"Ghostface Killah"
"225","6WkwHbcr6RAIqa72NsDFea","The Lost Tapes","https://i.scdn.co/image/ab67616d0000b273bccfb918f977a5f342780975","2018-10-05",2018-10-05,"the lost tapes",TRUE,1,1,23,"Ghostface Killah"
"226","40c7E8VG9R8U0NKft7J7Yk","Ghost Files - Bronze Tape","https://i.scdn.co/image/ab67616d0000b273c3e43396857ca7bb386d8ab3","2018-11-30",2018-11-30,"ghost files - bronze tape",TRUE,1,1,24,"Ghostface Killah"
"227","4t1y7sVACbddwczEcQs5HI","Ghost Files - Propane Tape","https://i.scdn.co/image/ab67616d0000b27306f40ea02911ba543d7930a6","2018-11-30",2018-11-30,"ghost files - propane tape",TRUE,1,1,25,"Ghostface Killah"
"228","7EYx33pYJKBfjCaDsfIjp4","Ghostface Killahs","https://i.scdn.co/image/b25b8742b2041d9a39e65d6ae6f35c588d27056a","2019-09-13",2019-09-13,"ghostface killahs",TRUE,1,1,26,"Ghostface Killah"
"229","3k8xoyOXkGgZxUKgpmxz4P","Liquid Swords","https://i.scdn.co/image/f0ce506327cba6e105aaa42f3a6be98770a2bc5f","1995-01-01",1995-01-01,"liquid swords",TRUE,1,1,1,"GZA"
"230","4QMKELvG0VNODbiFigj4K9","Beneath The Surface","https://i.scdn.co/image/d0e1d1b77d18e387c9d2b2842c24c6f4108a834a","1999-01-01",1999-01-01,"beneath the surface",TRUE,1,1,2,"GZA"
"231","5uxYLiUKqQNoiD5rIVHnkm","Legend Of The Liquid Sword","https://i.scdn.co/image/df7f9af5fb9d89cefbdcab955fe1006d09c207b2","2002-01-01",2002-01-01,"legend of the liquid sword",TRUE,1,1,3,"GZA"
"232","5nmN1wW90fbqNbz7ltY7rg","Pro Tools","https://i.scdn.co/image/ab67616d0000b273beaa88cdf9fdce9fd8d233a4","2008-08-19",2008-08-19,"pro tools",TRUE,1,1,4,"GZA"
"233","0ic6rMSwqDasuXSA7zJ1pw","The Pro Tools Instrumentals","https://i.scdn.co/image/ab67616d0000b27334acc7a30c37ac381df08609","2008-08-19",2008-08-19,"the pro tools instrumentals",TRUE,1,1,5,"GZA"
"234","6JF49ixyHmOgS0Rsda2k42","Cilvia Demo","https://i.scdn.co/image/ab67616d0000b273986cd6b330f7405b17a604f4","2014-01-28",2014-01-28,"cilvia demo",TRUE,1,1,1,"Isaiah Rashad"
"235","6jjX8mGrsWtrpYpFhGMrg1","The Suns Tirade","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","2016-09-02",2016-09-02,"the suns tirade",TRUE,1,1,2,"Isaiah Rashad"
"236","2KvJwjA8SxHUn1JPG09W4g","Welcome 2 Detroit","https://i.scdn.co/image/ab67616d0000b273ce9c35737e224ac86d68602b","2001",2001-01-01,"welcome 2 detroit",TRUE,1,1,1,"J Dilla"
"237","1Bvq4XLWstUiiCA5dGURtf","The Beat Generation 10th Anniversary Presents: Jay Dee - Pause","https://i.scdn.co/image/ab67616d0000b2736b14b760dec28a97fbfb343c","2001",2001-01-01,"the beat generation 10th anniversary presents: jay dee - pause",TRUE,1,1,2,"J Dilla"
